transaction_id,sender_account,receiver_account,merchant_id,amount,payment_channel,transaction_timestamp,status,is_fraud,sender_customer_id,customer_risk,customer_city,customer_state,merchant_name,merchant_category,merchant_risk_score,device_id,device_type,operating_system,device_risk_score,transaction_type,currency,cross_border,fraud_type,aml_rule,transaction_risk_score
1828402,177583,25788,14518,906.09,NEFT,2025-07-16 05:41:17.574101,Success,0,98568,Low,Kollam,Rajasthan,"Date, Kunda and Kari",Retail,59,1727.0,Laptop,Windows,94.0,Debit,INR,No,,,17
1200072,109383,74375,11839,1456.42,Internet Banking,2026-06-25 18:32:17.574101,Success,0,60730,Low,Katihar,Uttarakhand,Boase Group,Fuel,20,58872.0,Tablet,iPadOS,91.0,Debit,INR,No,,,69
194850,163328,29038,12185,1553.77,Debit Card,2025-11-30 17:43:17.574101,Success,0,90663,Low,Nagpur,Goa,Rai-Nagy,Healthcare,40,114927.0,Mobile,iOS,82.0,Credit,INR,No,,,17
1629055,58655,129389,11665,8922.16,UPI,2025-11-04 10:16:17.574101,Success,0,32537,Low,Bhiwani,Andhra Pradesh,Dani Inc,Education,10,47881.0,Mobile,iOS,23.0,Credit,INR,No,,,10
191145,28599,174368,1299,3251.26,UPI,2025-11-10 08:33:17.574101,Success,0,15875,Medium,Udupi,Madhya Pradesh,"Kapoor, Vyas and Karnik",Retail,38,100886.0,Laptop,Windows,35.0,Debit,INR,No,,,13
893211,178007,171854,8592,3016.02,IMPS,2026-05-27 13:41:17.574101,Success,0,98806,Low,Burhanpur,Himachal Pradesh,"Mall, Ram and Vora",E-Commerce,91,72087.0,Mobile,iOS,66.0,Debit,INR,No,,,19
1764398,30388,164136,6804,654.97,UPI,2026-06-02 01:57:17.574101,Success,0,16872,Medium,Delhi,Maharashtra,"Sani, Samra and Palla",Retail,18,76467.0,Tablet,Android,64.0,Credit,INR,No,,,69
530092,140617,77797,204,2792.12,NEFT,2026-02-24 21:40:17.574101,Success,0,78027,Low,Allahabad,Karnataka,"Palla, Sha and Bera",Entertainment,69,,,,,Credit,INR,No,,,4
1484471,8398,176701,1985,10657.35,ATM,2025-08-09 10:12:17.574101,Success,0,4677,Medium,Satara,Himachal Pradesh,Sodhi-Mahal,Utility,4,29876.0,Tablet,iPadOS,17.0,Credit,INR,No,,,7
1715849,29949,51224,15800,12289.41,Mobile Banking,2025-10-10 20:50:17.574101,Failed,0,16633,Low,Akola,Haryana,Mahal-Nadig,Retail,48,44208.0,Tablet,iPadOS,89.0,Debit,INR,No,,,3
856580,23040,50703,19352,8425.97,NEFT,2025-12-19 18:24:17.574101,Success,0,12772,Medium,Ranchi,Gujarat,Suresh Ltd,Entertainment,10,52926.0,Laptop,macOS,15.0,Debit,INR,No,,,13
1166585,116911,36069,16562,2823.91,ATM,2025-10-30 05:25:17.574101,Success,0,64916,Low,Hyderabad,Uttarakhand,Bobal-Rajagopal,Entertainment,51,24559.0,Laptop,macOS,1.0,Credit,INR,No,,,61
1698158,56737,120685,797,8774.19,Internet Banking,2025-11-26 02:40:17.574101,Success,0,31482,Low,Panvel,Assam,Bandi-Chauhan,Food,87,45032.0,Mobile,Android,45.0,Debit,INR,No,,,49
654425,158042,72468,7050,1925.93,Debit Card,2025-09-14 11:57:17.574101,Success,0,87714,Low,Raipur,Nagaland,Vohra-Bhasin,Education,43,,,,,Debit,INR,No,,,39
1253577,160457,50956,17219,1459.66,UPI,2026-01-30 00:52:17.574101,Success,0,89052,Low,Ratlam,West Bengal,Dar-Rajan,Education,79,,,,,Credit,INR,No,,,66
1311929,85549,76652,4120,4421.44,Mobile Banking,2026-02-15 13:17:17.574101,Success,0,47483,Medium,Khora ,Chhattisgarh,Hegde PLC,Education,91,52694.0,Laptop,Windows,74.0,Debit,INR,No,,,65
1513649,20551,81289,14544,1842.81,RTGS,2025-11-07 03:50:17.574101,Success,0,11382,Low,Udaipur,Mizoram,Puri-Brar,Entertainment,35,68664.0,Laptop,macOS,61.0,Credit,INR,No,,,21
533849,123585,98353,18922,3333.6,UPI,2025-11-17 00:19:17.574101,Success,0,68637,Low,Pimpri-Chinchwad,Gujarat,Barman-Sachar,Fuel,72,31883.0,Mobile,Android,54.0,Debit,INR,No,,,8
1063165,105796,123714,2494,2310.14,Credit Card,2026-04-06 16:15:17.574101,Success,0,58759,Low,Davanagere,Mizoram,Krish-Bandi,Travel,16,2953.0,Desktop,Windows,75.0,Debit,INR,No,,,31
1579543,16914,45197,9331,19701.6,Debit Card,2026-06-04 16:25:17.574101,Success,0,9372,High,Surendranagar Dudhrej,Himachal Pradesh,Jaggi-Gour,Finance,57,10336.0,Tablet,iPadOS,5.0,Debit,INR,No,,,42
394340,17174,106466,9091,992.36,Debit Card,2026-05-09 04:16:17.574101,Success,0,9514,Medium,Saharanpur,Jharkhand,Shere LLC,Travel,58,5040.0,Laptop,Windows,57.0,Credit,INR,No,,,12
781501,81682,72119,8107,1391.28,RTGS,2025-09-04 18:31:17.574101,Failed,0,45343,Low,Latur,Haryana,Hans LLC,Entertainment,58,,,,,Debit,INR,No,,,16
1061702,151956,74279,7132,1726.77,UPI,2026-03-24 01:56:17.574101,Success,0,84311,Low,Rohtak,Goa,Rege-Rastogi,Retail,88,149983.0,Laptop,Windows,54.0,Credit,INR,No,,,20
1308662,94394,71115,2101,654.35,Internet Banking,2026-03-05 05:49:17.574101,Success,0,52410,Low,Nadiad,Chhattisgarh,"Raghavan, Morar and Rout",E-Commerce,28,81281.0,Laptop,Windows,64.0,Debit,INR,No,,,14
970813,175147,148507,14986,2674.62,Credit Card,2026-04-20 23:37:17.574101,Success,0,97215,Low,Gangtok,Haryana,Sabharwal-Aggarwal,Travel,36,,,,,Credit,INR,No,,,6
794916,46596,53614,981,4426.72,ATM,2025-12-09 15:38:17.574101,Failed,0,25850,Low,Bikaner,Andhra Pradesh,"Kar, Tandon and Shah",Retail,38,,,,,Credit,INR,No,,,51
